Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Dennis Santana","PIT",3,3,,3.8360655737704916,55,1,2.2690000534057617,14.736100196838379,,61,258,54,28,26,5,24,1,3,58,8.557377049180328,3.540983606557377,2.4166666666666665,0.7377049180327869,0.2248062015503876,0.09302325581395349,0.13178294573643412,0.23376623376623376,1.278688524590164,0.2916666666666667,0.704225352112676,,,3.65828305697832,0.5158817887166268,,,,,,,,,354.78940105438244,5.816219689416106,345.2894010543823,5.6604819844980705,,,,,,,,,,,,,,,,,,,"Dennis Santana","17878",642701
"Chris Murphy","BOS",4,5,,4.7311829682010105,22,12,0,0.6410999894142151,,83.69999694824219,371,84,48,44,10,37,0,5,69,7.419355109224312,3.9784947687144863,1.864864864864865,1.0752688564093207,0.18598382749326145,0.09973045822102426,0.08625336927223719,0.2553191489361702,1.4456392402836422,0.296,0.6822429906542056,,,4.576276723359793,0.5158737656712362,,,,,,,,,292.5443773746491,3.4951539789846184,303.0643846988678,3.620841048372733,,,,,,,,,,,,,,,,,,,"Chris Murphy","26214",669684
"Jacob Lopez","OAK",5,5,,4.337349252611835,24,19,0,0.667900025844574,,91.30000305175781,397,84,48,44,12,40,0,7,87,8.576122385846128,3.943044775101668,2.175,1.1829134325305004,0.21914357682619648,0.10075566750629723,0.11838790931989925,0.24,1.3581598669794634,0.2868525896414343,0.708955223880597,,,4.513686743116199,0.5154711728779701,,,,,,,,,345.2916226863862,3.7819453575553656,336.17161536216736,3.6820548096980046,,,,,,,,,,,,,,,,,,,"Jacob Lopez","25098",682052
"Brian Van Belle","BOS",5,7,,4.7272727272727275,25,14,0,0,,99,430,110,56,52,15,27,0,3,68,6.181818181818182,2.4545454545454546,2.5185185185185186,1.3636363636363635,0.15813953488372093,0.06279069767441861,0.09534883720930232,0.275,1.3838383838383839,0.2996845425867508,0.6982758620689655,,,4.6715302833403,0.5136538903177359,,,,,,,,,308.1,3.1121212121212123,346,3.494949494949495,,,,,,,,,,,,,,,,,,,"Brian Van Belle","27695",687003
"Craig Yoho","MIL",3,3,,3.554757581471009,47,0,0,0,,55.70000076293945,233,43,24,22,6,22,0,5,69,11.149012414613619,3.554757581471009,3.1363636363636362,0.9694793404011842,0.296137339055794,0.0944206008583691,0.20171673819742486,0.2087378640776699,1.166965872705129,0.2824427480916031,0.724381625441696,,,3.5434995217791445,0.5132058539179956,,,,,,,,,283.58000564575195,5.091202904155698,257.50000381469727,4.62298025651065,,,,,,,,,,,,,,,,,,,"Craig Yoho","33248",684974
"A.J. Minter","NYM",6,3,,3.4155597228488563,59,0,2.4210000038146973,11.908300399780273,,52.70000076293945,215,44,22,20,6,17,1,1,58,9.905123196261684,2.903225764421528,3.411764705882353,1.0246679168546569,0.26976744186046514,0.07906976744186046,0.1906976744186047,0.2233502538071066,1.1574952394098903,0.2857142857142857,0.7414448669201521,,,3.470085086987471,0.5112036429178575,,,,,,,,,323.5182072639466,6.138865324105579,307.23820543289185,5.829946887760823,,,,,,,,,,,,,,,,,,,"A.J. Minter","18655",621345
"Logan Allen","ARI",4,5,,4.383954282509711,29,15,0,0,,104.69999694824219,465,110,55,51,12,40,0,6,78,6.704871255603087,3.438395515693891,1.95,1.0315186547081672,0.16774193548387098,0.08602150537634409,0.08172043010752689,0.26252983293556087,1.4326647982057878,0.2978723404255319,0.7132132132132133,,,4.48453139263912,0.5110653593688216,,,,,,,,,359.1799774169922,3.4305633991044973,385.49998474121094,3.681948385650675,,,,,,,,,,,,,,,,,,,"Logan Allen","18555",663531
"Cade Horton","CHC",3,4,,4.415584221135734,18,18,0,0,,69.30000305175781,293,66,37,34,10,23,0,3,58,7.532467200760958,2.987012855474173,2.5217391304347827,1.29870124151051,0.19795221843003413,0.07849829351535836,0.11945392491467577,0.24719101123595505,1.2842712277159487,0.2814070351758794,0.6933333333333334,,,4.494041047389428,0.5093964598478443,,,,,,,,,256.2200225830078,3.6972584603155902,254.50001525878906,3.6724387309003674,,,,,,,,,,,,,,,,,,,"Cade Horton","31872",690990
"Logan Workman","TBR",6,8,,4.695652173913044,25,24,0,0,,115,499,120,65,60,17,36,0,5,84,6.573913043478261,2.8173913043478263,2.3333333333333335,1.3304347826086957,0.1683366733466934,0.07214428857715431,0.09619238476953908,0.26200873362445415,1.3565217391304347,0.28851540616246496,0.6883509833585477,,,4.696914560898491,0.5082828220994158,,,,,,,,,374.9,3.26,399,3.4695652173913043,,,,,,,,,,,,,,,,,,,"Logan Workman","sa3017313",694312
"Chad Dallas","TOR",4,4,,4.609756097560975,18,18,0,0,,82,362,82,45,42,11,33,0,5,63,6.914634146341464,3.6219512195121952,1.9090909090909092,1.2073170731707317,0.17403314917127072,0.09116022099447514,0.08287292817679558,0.25308641975308643,1.4024390243902438,0.284,0.7028112449799198,,,4.764040753899551,0.5054195268186661,,,,,,,,,270.30000000000007,3.296341463414635,279,3.402439024390244,,,,,,,,,,,,,,,,,,,"Chad Dallas","sa3018180",689149
