Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Gabriel Barbosa","PHI",0.0485,0.0623,0.035,4.86225,0.5465,0.0965,0,0,,1,4.381,1.0937,0.5812,0.54025,0.154222,0.3487,0.014,0.0438,0.6303,5.6727,3.1383,1.80757,1.388,0.143871,0.0795937,0.06427756696939468,0.274213,1.4424,0.293222,0.702167,0.449315,,5.05693,-0.00603895,-0.0442271,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Gabriel Barbosa","sa3009593",682858
"Seth Clark","TEX",0.0457,0.0522,0,4.68225,1,0,0,0,,1,4.535,1.0094,0.5627,0.52025,0.117778,0.5947,0.0275,0.0535,0.8023,7.2207,5.3523,1.34908,1.06,0.176913,0.131136,0.04577729105949402,0.259699,1.6041,0.300541,0.723591,0.468314,,5.00625,-0.00603919,-0.0492908,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Seth Clark","sa3020630",806095
"Eric Adler","CHW",0.0433,0.0573,0.0066,4.8717,0.9068,0.0198,0,0,,1,4.519,1.015,0.5825,0.5413,0.134444,0.5759,0.0248,0.0438,0.7965,7.1685,5.1831,1.38305,1.21,0.176256,0.12744,0.048816099762916565,0.260303,1.5909,0.296648,0.718911,0.447962,,5.14901,-0.00604152,-0.0473812,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Eric Adler","sa3020592",688328
"Stevie Branche",,0.0452,0.0527,0,4.79007,1,0,0,0,,1,4.48,0.9816,0.5698,0.53223,0.137556,0.5386,0.0272,0.0545,0.8846,7.9614,4.8474,1.64241,1.238,0.197455,0.120223,0.07723212987184525,0.252541,1.5202,0.294632,0.715866,0.401017,,4.93346,-0.00604719,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Stevie Branche","sa3014866",688857
"Jack Dashwood","ATL",0.0481,0.054,0.0112,4.71078,0.8524,0.0314,0,0,,1,4.382,1.0372,0.5585,0.52342,0.155556,0.3886,0.0225,0.0374,0.8067,7.2603,3.4974,2.07591,1.4,0.184094,0.088681,0.09541305899620056,0.262184,1.4258,0.294496,0.71795,0.36907,,4.82196,-0.00605183,-0.0456668,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jack Dashwood","sa3015035",669081
"Hunter Dula",,0.045,0.053,0,4.84299,1,0,0,0,,1,4.433,1.0429,0.5759,0.53811,0.146556,0.4415,0.0269,0.0395,0.7747,6.9723,3.9735,1.7547,1.319,0.174757,0.099594,0.07516354322433472,0.263892,1.4844,0.295751,0.710197,0.405005,,4.93396,-0.0060528,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Hunter Dula","sa3017392",702471
"Evan Shawver","COL",0.0424,0.0555,0,5.32773,1,0,0,0,,1,4.545,1.1102,0.6324,0.59197,0.149556,0.5045,0.0276,0.0475,0.7579,6.8211,4.5405,1.50228,1.346,0.166755,0.111001,0.05575358867645264,0.278037,1.6147,0.311337,0.698986,0.433688,,5.21956,-0.00606662,-0.0344398,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Evan Shawver","sa3017780",686900
"Dennis Colleran","KCR",0.0451,0.0528,0,4.9419,1,0,0,0,,1,4.478,1.0252,0.5871,0.5491,0.140222,0.5063,0.0272,0.048,0.8248,7.4232,4.5567,1.62907,1.262,0.184189,0.113064,0.07112550735473633,0.261284,1.5315,0.299113,0.707316,0.405395,,4.97132,-0.00607038,-0.0449499,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Dennis Colleran","sa3029168",701207
"Jaycob Deese","PIT",0.0441,0.0538,0,4.90779,1,0,0,0,,1,4.44,1.1241,0.5863,0.54531,0.135556,0.3785,0.0269,0.0421,0.6238,5.6142,3.4065,1.64808,1.22,0.140495,0.0852477,0.05524774640798569,0.279669,1.5026,0.30323,0.697962,0.445344,,4.91156,-0.00607669,-0.0442872,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jaycob Deese","sa3020376",671600
"Jose Bravo",,0.0458,0.0621,0.0252,5.03109,0.6545,0.0735,0,0,,1,4.425,1.0739,0.5951,0.55901,0.157556,0.3931,0.0173,0.0404,0.7646,6.8814,3.5379,1.94505,1.418,0.172791,0.0888362,0.08395478874444962,0.269047,1.467,0.298547,0.699522,0.377194,,4.95466,-0.00607764,-0.047387,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jose Bravo","sa923839",670986
"Jake Pilarski",,0.045,0.0529,0,4.81806,1,0,0,0,,1,4.464,1.0386,0.5752,0.53534,0.135556,0.4842,0.0271,0.0441,0.7726,6.9534,4.3578,1.59562,1.22,0.173073,0.108468,0.06460573524236679,0.263892,1.5228,0.298276,0.710866,0.433993,,4.93706,-0.00608757,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jake Pilarski","sa3020685",702355
"Kenyon Yovan","LAA",0.0432,0.0591,0.0105,4.93758,0.8491,0.0321,0,0,,1,4.428,1.0541,0.5871,0.54862,0.154778,0.4305,0.0227,0.0454,0.7548,6.7932,3.8745,1.75331,1.393,0.170461,0.0972222,0.07323849201202393,0.266719,1.4846,0.295584,0.707857,0.415117,,5.06535,-0.0060933,-0.0465809,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kenyon Yovan","sa3016839",668719
"Dayeison Arias",,0.0454,0.0526,0,4.779,1,0,0,0,,1,4.437,0.987,0.5666,0.531,0.148667,0.4793,0.0269,0.0531,0.8625,7.7625,4.3137,1.7995,1.338,0.194388,0.108023,0.08636466413736343,0.252779,1.4663,0.289737,0.715088,0.373997,,4.94,-0.00612059,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Dayeison Arias","sa3002812",674375
"Justin Kelly",,0.0449,0.053,0,4.82985,1,0,0,0,,1,4.435,1.0756,0.577,0.53665,0.139556,0.4204,0.0269,0.0413,0.6967,6.2703,3.7836,1.65723,1.256,0.157091,0.0947914,0.06229988485574722,0.270707,1.496,0.298384,0.706585,0.440431,,4.94106,-0.00613242,-0.0470134,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Justin Kelly","sa3017072",702124
"Victor Morales","ARI",0.0461,0.0518,0,4.82589,1,0,0,0,,1,4.417,1.051,0.5731,0.53621,0.139778,0.4114,0.0268,0.0444,0.7883,7.0947,3.7026,1.91614,1.258,0.17847,0.0931401,0.08532941341400146,0.265324,1.4624,0.300424,0.702054,0.394851,,4.74305,-0.0061461,-0.0452892,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Victor Morales","sa3025376",802559
